xflr5 v6.59

S1223
T1-111.0 m/s-VLM1
QInf  =,  111.000000 ,m/s
Alpha = ,   5.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.406877
Cy    = ,   0.000000
Cd=,   0.107068,ICd=,    0.090354,PCd=,    0.016714
Cl   = ,-2.27309e-16
Cm   =,   -0.705696
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    2.236131, YCP=,    0.000000, ZCP=,    0.300218 
XNP=,    0.000000
Bending =,    0.000000

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -14.9489,   2.8999, -6.255, 0.666885, 0.034610, 0.219918,-0.465350,-0.305163, 0.4001, 0.0277, 0.7231, 0.0000
  -14.7457,   2.9390, -6.092, 0.802510, 0.028109, 0.142278,-0.494660,-0.295769, 0.3936, 0.0317, 0.6169, 2.5499
  -14.3448,   3.0162, -5.329, 0.982012, 0.020637, 0.108161,-0.557356,-0.312206, 0.3854, 0.0379, 0.5629,25.8168
  -13.7573,   3.1294, -4.522, 1.133905, 0.016357, 0.094649,-0.609382,-0.325862, 0.3757, 0.0170, 0.5316,114.8532
  -12.9991,   3.2755, -3.877, 1.247774, 0.016351, 0.085935,-0.646283,-0.334151, 0.3624, 0.0209, 0.5119,345.3905
  -12.0909,   3.4505, -3.422, 1.327392, 0.016531, 0.079571,-0.670881,-0.338805, 0.3569, 0.0265, 0.4994,819.0882
  -11.0574,   3.6496, -3.134, 1.379783, 0.016598, 0.075371,-0.686552,-0.341372, 0.3532, 0.0732, 0.4916,1651.6148
   -9.9269,   3.8674, -2.979, 1.411725, 0.016542, 0.073190,-0.695917,-0.342758, 0.3499, 0.1138, 0.4870,2955.7277
   -8.7302,   4.0980, -2.926, 1.428743, 0.016396, 0.072761,-0.700846,-0.343443, 0.3471, 0.1303, 0.4846,4821.7921
   -7.5000,   4.3350, -2.951, 1.435053, 0.016181, 0.073781,-0.702647,-0.343679, 0.3447, 0.1236, 0.4837,7298.4710
   -6.2698,   4.5720, -3.037, 1.433807, 0.015915, 0.075985,-0.702238,-0.343594, 0.3427, 0.1016, 0.4838,10376.5367
   -5.0731,   4.8026, -3.171, 1.427406, 0.015715, 0.079197,-0.700278,-0.343245, 0.3419, 0.0811, 0.4847,13978.6654
   -3.9426,   5.0204, -3.349, 1.417754, 0.015555, 0.083345,-0.697254,-0.342644, 0.3419, 0.0615, 0.4859,17957.4957
   -2.9091,   5.2195, -3.567, 1.406452, 0.015393, 0.088494,-0.693549,-0.341771, 0.3421, 0.0399, 0.4872,22103.1374
   -2.0009,   5.3945, -3.833, 1.394923, 0.015242, 0.094882,-0.689501,-0.340608, 0.3423, 0.0278, 0.4884,26159.8677
   -1.2427,   5.5406, -4.158, 1.384507, 0.015114, 0.103049,-0.685502,-0.339208, 0.3426, 0.0247, 0.4892,29850.2390
   -0.6552,   5.6538, -4.570, 1.376585, 0.015015, 0.114591,-0.682222,-0.337883, 0.3428, 0.0235, 0.4896,32903.5702
   -0.2543,   5.7310, -5.114, 1.373120, 0.014961, 0.136191,-0.681234,-0.337696, 0.3428, 0.0230, 0.4900,35085.0684
   -0.0511,   5.7701, -5.885, 1.376523, 0.014967, 0.170347,-0.684949,-0.340548, 0.3425, 0.0234, 0.4915,36221.7334
    0.0511,   5.7701, -5.885, 1.376523, 0.014967, 0.170347,-0.684949,-0.340548, 0.3425, 0.0234, 0.4915,36221.8866
    0.2543,   5.7310, -5.114, 1.373120, 0.014961, 0.136191,-0.681234,-0.337696, 0.3428, 0.0230, 0.4900,35085.1853
    0.6552,   5.6538, -4.570, 1.376585, 0.015015, 0.114591,-0.682222,-0.337883, 0.3428, 0.0235, 0.4896,32903.6536
    1.2427,   5.5406, -4.158, 1.384507, 0.015114, 0.103049,-0.685502,-0.339208, 0.3426, 0.0247, 0.4892,29850.2928
    2.0009,   5.3945, -3.833, 1.394923, 0.015242, 0.094882,-0.689501,-0.340608, 0.3423, 0.0278, 0.4884,26159.8969
    2.9091,   5.2195, -3.567, 1.406452, 0.015393, 0.088494,-0.693549,-0.341771, 0.3421, 0.0399, 0.4872,22103.1473
    3.9426,   5.0204, -3.349, 1.417754, 0.015555, 0.083345,-0.697254,-0.342644, 0.3419, 0.0615, 0.4859,17957.4917
    5.0731,   4.8026, -3.171, 1.427406, 0.015715, 0.079197,-0.700278,-0.343245, 0.3419, 0.0811, 0.4847,13978.6523
    6.2698,   4.5720, -3.037, 1.433807, 0.015915, 0.075985,-0.702238,-0.343594, 0.3427, 0.1016, 0.4838,10376.5189
    7.5000,   4.3350, -2.951, 1.435053, 0.016181, 0.073781,-0.702647,-0.343679, 0.3447, 0.1236, 0.4837,7298.4518
    8.7302,   4.0980, -2.926, 1.428743, 0.016396, 0.072761,-0.700846,-0.343443, 0.3471, 0.1303, 0.4846,4821.7741
    9.9269,   3.8674, -2.979, 1.411725, 0.016542, 0.073190,-0.695917,-0.342758, 0.3499, 0.1138, 0.4870,2955.7123
   11.0574,   3.6496, -3.134, 1.379783, 0.016598, 0.075371,-0.686552,-0.341372, 0.3532, 0.0732, 0.4916,1651.6028
   12.0909,   3.4505, -3.422, 1.327392, 0.016531, 0.079571,-0.670881,-0.338805, 0.3569, 0.0265, 0.4994,819.0797
   12.9991,   3.2755, -3.877, 1.247774, 0.016351, 0.085935,-0.646283,-0.334151, 0.3624, 0.0209, 0.5119,345.3851
   13.7573,   3.1294, -4.522, 1.133905, 0.016357, 0.094649,-0.609382,-0.325862, 0.3757, 0.0170, 0.5316,114.8503
   14.3448,   3.0162, -5.329, 0.982012, 0.020637, 0.108161,-0.557356,-0.312206, 0.3854, 0.0379, 0.5629,25.8156
   14.7457,   2.9390, -6.092, 0.802510, 0.028109, 0.142278,-0.494660,-0.295769, 0.3936, 0.0317, 0.6169, 2.5496
   14.9489,   2.8999, -6.255, 0.666885, 0.034610, 0.219918,-0.465350,-0.305163, 0.4001, 0.0277, 0.7231, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
 131,   4.457e+00,  -6.270e+00,   7.156e-02,       0.426,      -0.083,       0.901,   2.651e-01,      1.2882
 132,   4.232e+00,  -6.270e+00,   1.640e-01,       0.283,      -0.057,       0.958,   3.995e-01,      1.3955
 133,   3.894e+00,  -6.270e+00,   2.527e-01,       0.184,      -0.041,       0.982,   5.132e-01,      1.4070
 134,   3.463e+00,  -6.270e+00,   3.246e-01,       0.113,      -0.030,       0.993,   6.003e-01,      1.3964
 135,   2.963e+00,  -6.270e+00,   3.742e-01,       0.059,      -0.023,       0.998,   6.551e-01,      1.4065
 136,   2.424e+00,  -6.270e+00,   3.994e-01,       0.010,      -0.018,       1.000,   6.735e-01,      1.4453
 137,   1.877e+00,  -6.270e+00,   3.982e-01,      -0.041,      -0.013,       0.999,   6.544e-01,      1.5230
 138,   1.353e+00,  -6.270e+00,   3.674e-01,      -0.115,      -0.009,       0.993,   6.002e-01,      1.5471
 139,   8.843e-01,  -6.270e+00,   3.033e-01,      -0.205,      -0.005,       0.979,   5.149e-01,      1.4549
 140,   4.966e-01,  -6.270e+00,   2.158e-01,      -0.280,      -0.003,       0.960,   3.984e-01,      1.4415
 141,   2.130e-01,  -6.270e+00,   1.257e-01,      -0.404,      -0.001,       0.915,   2.610e-01,      1.3853
 142,   4.982e-02,  -6.270e+00,   4.416e-02,      -0.712,       0.000,       0.703,   1.155e-01,     -0.1231
Strip 12
 143,   4.785e+00,  -5.073e+00,   1.272e-02,       0.585,      -0.113,       0.803,   1.018e-01,      0.9971
 144,   4.681e+00,  -5.073e+00,   7.517e-02,       0.426,      -0.083,       0.901,   2.670e-01,      1.2872
 145,   4.445e+00,  -5.073e+00,   1.723e-01,       0.283,      -0.057,       0.958,   4.024e-01,      1.3935
 146,   4.090e+00,  -5.073e+00,   2.654e-01,       0.184,      -0.041,       0.982,   5.169e-01,      1.4039
 147,   3.637e+00,  -5.073e+00,   3.410e-01,       0.113,      -0.030,       0.993,   6.047e-01,      1.3924
 148,   3.112e+00,  -5.073e+00,   3.931e-01,       0.059,      -0.023,       0.998,   6.598e-01,      1.4018
 149,   2.546e+00,  -5.073e+00,   4.196e-01,       0.010,      -0.018,       1.000,   6.784e-01,      1.4400
 150,   1.971e+00,  -5.073e+00,   4.183e-01,      -0.041,      -0.013,       0.999,   6.591e-01,      1.5172
 151,   1.422e+00,  -5.073e+00,   3.859e-01,      -0.115,      -0.009,       0.993,   6.046e-01,      1.5403
 152,   9.289e-01,  -5.073e+00,   3.186e-01,      -0.205,      -0.005,       0.979,   5.186e-01,      1.4467
 153,   5.217e-01,  -5.073e+00,   2.267e-01,      -0.280,      -0.003,       0.960,   4.013e-01,      1.4308
 154,   2.237e-01,  -5.073e+00,   1.321e-01,      -0.404,      -0.001,       0.915,   2.629e-01,      1.3692
 155,   5.233e-02,  -5.073e+00,   4.638e-02,      -0.712,       0.000,       0.703,   1.164e-01,     -0.1508
Strip 13
 156,   5.002e+00,  -3.943e+00,   1.330e-02,       0.585,      -0.113,       0.803,   9.898e-02,      0.9967
 157,   4.894e+00,  -3.943e+00,   7.858e-02,       0.426,      -0.083,       0.901,   2.595e-01,      1.2858
 158,   4.647e+00,  -3.943e+00,   1.801e-01,       0.283,      -0.057,       0.958,   3.911e-01,      1.3904
 159,   4.276e+00,  -3.943e+00,   2.775e-01,       0.184,      -0.041,       0.982,   5.025e-01,      1.3989
 160,   3.802e+00,  -3.943e+00,   3.565e-01,       0.113,      -0.030,       0.993,   5.878e-01,      1.3860
 161,   3.253e+00,  -3.943e+00,   4.109e-01,       0.059,      -0.023,       0.998,   6.414e-01,      1.3944
 162,   2.661e+00,  -3.943e+00,   4.386e-01,       0.010,      -0.018,       1.000,   6.594e-01,      1.4318
 163,   2.061e+00,  -3.943e+00,   4.372e-01,      -0.041,      -0.013,       0.999,   6.407e-01,      1.5082
 164,   1.486e+00,  -3.943e+00,   4.034e-01,      -0.115,      -0.009,       0.993,   5.877e-01,      1.5301
 165,   9.710e-01,  -3.943e+00,   3.331e-01,      -0.205,      -0.005,       0.979,   5.041e-01,      1.4346
 166,   5.453e-01,  -3.943e+00,   2.369e-01,      -0.280,      -0.003,       0.960,   3.901e-01,      1.4151
 167,   2.339e-01,  -3.943e+00,   1.381e-01,      -0.404,      -0.001,       0.915,   2.556e-01,      1.3461
 168,   5.471e-02,  -3.943e+00,   4.849e-02,      -0.712,       0.000,       0.703,   1.131e-01,     -0.1906
Strip 14
 169,   5.201e+00,  -2.909e+00,   1.382e-02,       0.585,      -0.113,       0.803,   9.233e-02,      0.9964
 170,   5.088e+00,  -2.909e+00,   8.169e-02,       0.426,      -0.083,       0.901,   2.421e-01,      1.2841
 171,   4.831e+00,  -2.909e+00,   1.873e-01,       0.283,      -0.057,       0.958,   3.649e-01,      1.3864
 172,   4.445e+00,  -2.909e+00,   2.885e-01,       0.184,      -0.041,       0.982,   4.687e-01,      1.3926
 173,   3.953e+00,  -2.909e+00,   3.706e-01,       0.113,      -0.030,       0.993,   5.483e-01,      1.3778
 174,   3.382e+00,  -2.909e+00,   4.272e-01,       0.059,      -0.023,       0.998,   5.983e-01,      1.3851
 175,   2.767e+00,  -2.909e+00,   4.560e-01,       0.010,      -0.018,       1.000,   6.151e-01,      1.4219
 176,   2.142e+00,  -2.909e+00,   4.546e-01,      -0.041,      -0.013,       0.999,   5.977e-01,      1.4975
 177,   1.545e+00,  -2.909e+00,   4.194e-01,      -0.115,      -0.009,       0.993,   5.482e-01,      1.5184
 178,   1.010e+00,  -2.909e+00,   3.463e-01,      -0.205,      -0.005,       0.979,   4.703e-01,      1.4211
 179,   5.670e-01,  -2.909e+00,   2.463e-01,      -0.280,      -0.003,       0.960,   3.639e-01,      1.3978
 180,   2.432e-01,  -2.909e+00,   1.435e-01,      -0.404,      -0.001,       0.915,   2.384e-01,      1.3206
 181,   5.688e-02,  -2.909e+00,   5.041e-02,      -0.712,       0.000,       0.703,   1.055e-01,     -0.2345
Strip 15
 182,   5.375e+00,  -2.001e+00,   1.429e-02,       0.585,      -0.113,       0.803,   8.190e-02,      0.9961
 183,   5.258e+00,  -2.001e+00,   8.443e-02,       0.426,      -0.083,       0.901,   2.147e-01,      1.2822
 184,   4.993e+00,  -2.001e+00,   1.935e-01,       0.283,      -0.057,       0.958,   3.236e-01,      1.3817
 185,   4.594e+00,  -2.001e+00,   2.982e-01,       0.184,      -0.041,       0.982,   4.158e-01,      1.3851
 186,   4.086e+00,  -2.001e+00,   3.830e-01,       0.113,      -0.030,       0.993,   4.864e-01,      1.3683
 187,   3.496e+00,  -2.001e+00,   4.416e-01,       0.059,      -0.023,       0.998,   5.307e-01,      1.3747
 188,   2.860e+00,  -2.001e+00,   4.713e-01,       0.010,      -0.018,       1.000,   5.456e-01,      1.4112
 189,   2.214e+00,  -2.001e+00,   4.698e-01,      -0.041,      -0.013,       0.999,   5.302e-01,      1.4866
 190,   1.597e+00,  -2.001e+00,   4.335e-01,      -0.115,      -0.009,       0.993,   4.863e-01,      1.5069
 191,   1.043e+00,  -2.001e+00,   3.579e-01,      -0.205,      -0.005,       0.979,   4.172e-01,      1.4082
 192,   5.860e-01,  -2.001e+00,   2.546e-01,      -0.280,      -0.003,       0.960,   3.228e-01,      1.3815
 193,   2.513e-01,  -2.001e+00,   1.483e-01,      -0.404,      -0.001,       0.915,   2.115e-01,      1.2968
 194,   5.878e-02,  -2.001e+00,   5.210e-02,      -0.712,       0.000,       0.703,   9.360e-02,     -0.2752
Strip 16
 195,   5.520e+00,  -1.243e+00,   1.467e-02,       0.585,      -0.113,       0.803,   6.793e-02,      0.9957
 196,   5.401e+00,  -1.243e+00,   8.672e-02,       0.426,      -0.083,       0.901,   1.781e-01,      1.2798
 197,   5.128e+00,  -1.243e+00,   1.988e-01,       0.283,      -0.057,       0.958,   2.684e-01,      1.3766
 198,   4.719e+00,  -1.243e+00,   3.062e-01,       0.184,      -0.041,       0.982,   3.449e-01,      1.3772
 199,   4.196e+00,  -1.243e+00,   3.934e-01,       0.113,      -0.030,       0.993,   4.034e-01,      1.3584
 200,   3.591e+00,  -1.243e+00,   4.535e-01,       0.059,      -0.023,       0.998,   4.402e-01,      1.3641
 201,   2.937e+00,  -1.243e+00,   4.841e-01,       0.010,      -0.018,       1.000,   4.526e-01,      1.4009
 202,   2.274e+00,  -1.243e+00,   4.826e-01,      -0.041,      -0.013,       0.999,   4.397e-01,      1.4769
 203,   1.640e+00,  -1.243e+00,   4.452e-01,      -0.115,      -0.009,       0.993,   4.033e-01,      1.4974
 204,   1.072e+00,  -1.243e+00,   3.676e-01,      -0.205,      -0.005,       0.979,   3.460e-01,      1.3978
 205,   6.019e-01,  -1.243e+00,   2.615e-01,      -0.280,      -0.003,       0.960,   2.677e-01,      1.3687
 206,   2.581e-01,  -1.243e+00,   1.524e-01,      -0.404,      -0.001,       0.915,   1.754e-01,      1.2780
 207,   6.037e-02,  -1.243e+00,   5.351e-02,      -0.712,       0.000,       0.703,   7.763e-02,     -0.3075
Strip 17
 208,   5.633e+00,  -6.552e-01,   1.497e-02,       0.585,      -0.113,       0.803,   5.091e-02,      0.9953
 209,   5.511e+00,  -6.552e-01,   8.849e-02,       0.426,      -0.083,       0.901,   1.335e-01,      1.2771
 210,   5.233e+00,  -6.552e-01,   2.028e-01,       0.283,      -0.057,       0.958,   2.012e-01,      1.3725
 211,   4.815e+00,  -6.552e-01,   3.125e-01,       0.184,      -0.041,       0.982,   2.585e-01,      1.3714
 212,   4.282e+00,  -6.552e-01,   4.014e-01,       0.113,      -0.030,       0.993,   3.023e-01,      1.3500
 213,   3.664e+00,  -6.552e-01,   4.628e-01,       0.059,      -0.023,       0.998,   3.299e-01,      1.3544
 214,   2.997e+00,  -6.552e-01,   4.940e-01,       0.010,      -0.018,       1.000,   3.392e-01,      1.3919
 215,   2.321e+00,  -6.552e-01,   4.924e-01,      -0.041,      -0.013,       0.999,   3.296e-01,      1.4694
 216,   1.674e+00,  -6.552e-01,   4.543e-01,      -0.115,      -0.009,       0.993,   3.023e-01,      1.4910
 217,   1.094e+00,  -6.552e-01,   3.751e-01,      -0.205,      -0.005,       0.979,   2.593e-01,      1.3915
 218,   6.141e-01,  -6.552e-01,   2.668e-01,      -0.280,      -0.003,       0.960,   2.006e-01,      1.3607
 219,   2.634e-01,  -6.552e-01,   1.555e-01,      -0.404,      -0.001,       0.915,   1.315e-01,      1.2660
 220,   6.161e-02,  -6.552e-01,   5.460e-02,      -0.712,       0.000,       0.703,   5.818e-02,     -0.3282
Strip 18
 221,   5.710e+00,  -2.543e-01,   1.518e-02,       0.585,      -0.113,       0.803,   3.154e-02,      0.9967
 222,   5.586e+00,  -2.543e-01,   8.970e-02,       0.426,      -0.083,       0.901,   8.269e-02,      1.2806
 223,   5.305e+00,  -2.543e-01,   2.056e-01,       0.283,      -0.057,       0.958,   1.246e-01,      1.3775
 224,   4.881e+00,  -2.543e-01,   3.168e-01,       0.184,      -0.041,       0.982,   1.601e-01,      1.3727
 225,   4.340e+00,  -2.543e-01,   4.069e-01,       0.113,      -0.030,       0.993,   1.873e-01,      1.3453
 226,   3.714e+00,  -2.543e-01,   4.691e-01,       0.059,      -0.023,       0.998,   2.044e-01,      1.3462
 227,   3.038e+00,  -2.543e-01,   5.007e-01,       0.010,      -0.018,       1.000,   2.101e-01,      1.3846
 228,   2.352e+00,  -2.543e-01,   4.991e-01,      -0.041,      -0.013,       0.999,   2.041e-01,      1.4646
 229,   1.696e+00,  -2.543e-01,   4.606e-01,      -0.115,      -0.009,       0.993,   1.873e-01,      1.4886
 230,   1.108e+00,  -2.543e-01,   3.802e-01,      -0.205,      -0.005,       0.979,   1.606e-01,      1.3901
 231,   6.225e-01,  -2.543e-01,   2.705e-01,      -0.280,      -0.003,       0.960,   1.243e-01,      1.3579
 232,   2.670e-01,  -2.543e-01,   1.576e-01,      -0.404,      -0.001,       0.915,   8.143e-02,      1.2608
 233,   6.245e-02,  -2.543e-01,   5.535e-02,      -0.712,       0.000,       0.703,   3.604e-02,     -0.3375
Strip 19
 234,   5.749e+00,  -5.115e-02,   1.528e-02,       0.585,      -0.113,       0.803,   1.068e-02,      1.0240
 235,   5.625e+00,  -5.115e-02,   9.031e-02,       0.426,      -0.083,       0.901,   2.801e-02,      1.3195
 236,   5.341e+00,  -5.115e-02,   2.070e-01,       0.283,      -0.057,       0.958,   4.221e-02,      1.4009
 237,   4.914e+00,  -5.115e-02,   3.189e-01,       0.184,      -0.041,       0.982,   5.423e-02,      1.3791
 238,   4.370e+00,  -5.115e-02,   4.097e-01,       0.113,      -0.030,       0.993,   6.343e-02,      1.3439
 239,   3.739e+00,  -5.115e-02,   4.723e-01,       0.059,      -0.023,       0.998,   6.922e-02,      1.3397
 240,   3.059e+00,  -5.115e-02,   5.041e-01,       0.010,      -0.018,       1.000,   7.116e-02,      1.3789
 241,   2.368e+00,  -5.115e-02,   5.025e-01,      -0.041,      -0.013,       0.999,   6.914e-02,      1.4617
 242,   1.708e+00,  -5.115e-02,   4.637e-01,      -0.115,      -0.009,       0.993,   6.342e-02,      1.4886
 243,   1.116e+00,  -5.115e-02,   3.828e-01,      -0.205,      -0.005,       0.979,   5.441e-02,      1.3925
 244,   6.268e-01,  -5.115e-02,   2.723e-01,      -0.280,      -0.003,       0.960,   4.210e-02,      1.3596
 245,   2.688e-01,  -5.115e-02,   1.587e-01,      -0.404,      -0.001,       0.915,   2.758e-02,      1.2608
 246,   6.288e-02,  -5.115e-02,   5.573e-02,      -0.712,       0.000,       0.703,   1.221e-02,     -0.3387
Strip 20
 247,   5.749e+00,   5.115e-02,   1.528e-02,       0.585,       0.113,       0.803,   1.068e-02,      1.0240
 248,   5.625e+00,   5.115e-02,   9.031e-02,       0.426,       0.083,       0.901,   2.801e-02,      1.3195
 249,   5.341e+00,   5.115e-02,   2.070e-01,       0.283,       0.057,       0.958,   4.221e-02,      1.4009
 250,   4.914e+00,   5.115e-02,   3.189e-01,       0.184,       0.041,       0.982,   5.423e-02,      1.3791
 251,   4.370e+00,   5.115e-02,   4.097e-01,       0.113,       0.030,       0.993,   6.343e-02,      1.3439
 252,   3.739e+00,   5.115e-02,   4.723e-01,       0.059,       0.023,       0.998,   6.922e-02,      1.3397
 253,   3.059e+00,   5.115e-02,   5.041e-01,       0.010,       0.018,       1.000,   7.116e-02,      1.3789
 254,   2.368e+00,   5.115e-02,   5.025e-01,      -0.041,       0.013,       0.999,   6.914e-02,      1.4617
 255,   1.708e+00,   5.115e-02,   4.637e-01,      -0.115,       0.009,       0.993,   6.342e-02,      1.4886
 256,   1.116e+00,   5.115e-02,   3.828e-01,      -0.205,       0.005,       0.979,   5.441e-02,      1.3925
 257,   6.268e-01,   5.115e-02,   2.723e-01,      -0.280,       0.003,       0.960,   4.210e-02,      1.3596
 258,   2.688e-01,   5.115e-02,   1.587e-01,      -0.404,       0.001,       0.915,   2.758e-02,      1.2608
 259,   6.288e-02,   5.115e-02,   5.573e-02,      -0.712,      -0.000,       0.703,   1.221e-02,     -0.3387
Strip 21
 260,   5.710e+00,   2.543e-01,   1.518e-02,       0.585,       0.113,       0.803,   3.154e-02,      0.9967
 261,   5.586e+00,   2.543e-01,   8.970e-02,       0.426,       0.083,       0.901,   8.269e-02,      1.2806
 262,   5.305e+00,   2.543e-01,   2.056e-01,       0.283,       0.057,       0.958,   1.246e-01,      1.3775
 263,   4.881e+00,   2.543e-01,   3.168e-01,       0.184,       0.041,       0.982,   1.601e-01,      1.3727
 264,   4.340e+00,   2.543e-01,   4.069e-01,       0.113,       0.030,       0.993,   1.873e-01,      1.3453
 265,   3.714e+00,   2.543e-01,   4.691e-01,       0.059,       0.023,       0.998,   2.044e-01,      1.3462
 266,   3.038e+00,   2.543e-01,   5.007e-01,       0.010,       0.018,       1.000,   2.101e-01,      1.3846
 267,   2.352e+00,   2.543e-01,   4.991e-01,      -0.041,       0.013,       0.999,   2.041e-01,      1.4646
 268,   1.696e+00,   2.543e-01,   4.606e-01,      -0.115,       0.009,       0.993,   1.873e-01,      1.4886
 269,   1.108e+00,   2.543e-01,   3.802e-01,      -0.205,       0.005,       0.979,   1.606e-01,      1.3901
 270,   6.225e-01,   2.543e-01,   2.705e-01,      -0.280,       0.003,       0.960,   1.243e-01,      1.3579
 271,   2.670e-01,   2.543e-01,   1.576e-01,      -0.404,       0.001,       0.915,   8.143e-02,      1.2608
 272,   6.245e-02,   2.543e-01,   5.535e-02,      -0.712,      -0.000,       0.703,   3.604e-02,     -0.3375
Strip 22
 273,   5.633e+00,   6.552e-01,   1.497e-02,       0.585,       0.113,       0.803,   5.091e-02,      0.9953
 274,   5.511e+00,   6.552e-01,   8.849e-02,       0.426,       0.083,       0.901,   1.335e-01,      1.2771
 275,   5.233e+00,   6.552e-01,   2.028e-01,       0.283,       0.057,       0.958,   2.012e-01,      1.3725
 276,   4.815e+00,   6.552e-01,   3.125e-01,       0.184,       0.041,       0.982,   2.585e-01,      1.3714
 277,   4.282e+00,   6.552e-01,   4.014e-01,       0.113,       0.030,       0.993,   3.023e-01,      1.3500
 278,   3.664e+00,   6.552e-01,   4.628e-01,       0.059,       0.023,       0.998,   3.299e-01,      1.3544
 279,   2.997e+00,   6.552e-01,   4.940e-01,       0.010,       0.018,       1.000,   3.392e-01,      1.3919
 280,   2.321e+00,   6.552e-01,   4.924e-01,      -0.041,       0.013,       0.999,   3.296e-01,      1.4694
 281,   1.674e+00,   6.552e-01,   4.543e-01,      -0.115,       0.009,       0.993,   3.023e-01,      1.4910
 282,   1.094e+00,   6.552e-01,   3.751e-01,      -0.205,       0.005,       0.979,   2.593e-01,      1.3915
 283,   6.141e-01,   6.552e-01,   2.668e-01,      -0.280,       0.003,       0.960,   2.006e-01,      1.3607
 284,   2.634e-01,   6.552e-01,   1.555e-01,      -0.404,       0.001,       0.915,   1.315e-01,      1.2660
 285,   6.161e-02,   6.552e-01,   5.460e-02,      -0.712,      -0.000,       0.703,   5.818e-02,     -0.3282
Strip 23
 286,   5.520e+00,   1.243e+00,   1.467e-02,       0.585,       0.113,       0.803,   6.793e-02,      0.9957
 287,   5.401e+00,   1.243e+00,   8.672e-02,       0.426,       0.083,       0.901,   1.781e-01,      1.2798
 288,   5.128e+00,   1.243e+00,   1.988e-01,       0.283,       0.057,       0.958,   2.684e-01,      1.3766
 289,   4.719e+00,   1.243e+00,   3.062e-01,       0.184,       0.041,       0.982,   3.449e-01,      1.3772
 290,   4.196e+00,   1.243e+00,   3.934e-01,       0.113,       0.030,       0.993,   4.034e-01,      1.3584
 291,   3.591e+00,   1.243e+00,   4.535e-01,       0.059,       0.023,       0.998,   4.402e-01,      1.3641
 292,   2.937e+00,   1.243e+00,   4.841e-01,       0.010,       0.018,       1.000,   4.526e-01,      1.4009
 293,   2.274e+00,   1.243e+00,   4.826e-01,      -0.041,       0.013,       0.999,   4.397e-01,      1.4769
 294,   1.640e+00,   1.243e+00,   4.452e-01,      -0.115,       0.009,       0.993,   4.033e-01,      1.4974
 295,   1.072e+00,   1.243e+00,   3.676e-01,      -0.205,       0.005,       0.979,   3.460e-01,      1.3978
 296,   6.019e-01,   1.243e+00,   2.615e-01,      -0.280,       0.003,       0.960,   2.677e-01,      1.3687
 297,   2.581e-01,   1.243e+00,   1.524e-01,      -0.404,       0.001,       0.915,   1.754e-01,      1.2780
 298,   6.037e-02,   1.243e+00,   5.351e-02,      -0.712,      -0.000,       0.703,   7.763e-02,     -0.3075
Strip 24
 299,   5.375e+00,   2.001e+00,   1.429e-02,       0.585,       0.113,       0.803,   8.190e-02,      0.9961
 300,   5.258e+00,   2.001e+00,   8.443e-02,       0.426,       0.083,       0.901,   2.147e-01,      1.2822
 301,   4.993e+00,   2.001e+00,   1.935e-01,       0.283,       0.057,       0.958,   3.236e-01,      1.3817
 302,   4.594e+00,   2.001e+00,   2.982e-01,       0.184,       0.041,       0.982,   4.158e-01,      1.3851
 303,   4.086e+00,   2.001e+00,   3.830e-01,       0.113,       0.030,       0.993,   4.864e-01,      1.3683
 304,   3.496e+00,   2.001e+00,   4.416e-01,       0.059,       0.023,       0.998,   5.307e-01,      1.3747
 305,   2.860e+00,   2.001e+00,   4.713e-01,       0.010,       0.018,       1.000,   5.456e-01,      1.4112
 306,   2.214e+00,   2.001e+00,   4.698e-01,      -0.041,       0.013,       0.999,   5.302e-01,      1.4866
 307,   1.597e+00,   2.001e+00,   4.335e-01,      -0.115,       0.009,       0.993,   4.863e-01,      1.5069
 308,   1.043e+00,   2.001e+00,   3.579e-01,      -0.205,       0.005,       0.979,   4.172e-01,      1.4082
 309,   5.860e-01,   2.001e+00,   2.546e-01,      -0.280,       0.003,       0.960,   3.228e-01,      1.3815
 310,   2.513e-01,   2.001e+00,   1.483e-01,      -0.404,       0.001,       0.915,   2.115e-01,      1.2968
 311,   5.878e-02,   2.001e+00,   5.210e-02,      -0.712,      -0.000,       0.703,   9.360e-02,     -0.2752
Strip 25
 312,   5.201e+00,   2.909e+00,   1.382e-02,       0.585,       0.113,       0.803,   9.233e-02,      0.9964
 313,   5.088e+00,   2.909e+00,   8.169e-02,       0.426,       0.083,       0.901,   2.421e-01,      1.2841
 314,   4.831e+00,   2.909e+00,   1.873e-01,       0.283,       0.057,       0.958,   3.649e-01,      1.3864
 315,   4.445e+00,   2.909e+00,   2.885e-01,       0.184,       0.041,       0.982,   4.687e-01,      1.3926
 316,   3.953e+00,   2.909e+00,   3.706e-01,       0.113,       0.030,       0.993,   5.483e-01,      1.3778
 317,   3.382e+00,   2.909e+00,   4.272e-01,       0.059,       0.023,       0.998,   5.983e-01,      1.3851
